"acc" "trial" "block"
0.357143 1 1
0.357143 2 1
0.214286 3 1
0.071429 4 1
0.214286 5 1
0.142857 6 1
0.285714 7 1
0.357143 8 1
0.285714 9 1
0.285714 10 1
0.5 11 1
0.5 12 1
0.357143 13 1
0.357143 14 1
0.214286 15 1
0.428571 16 1
0.285714 17 1
0.285714 18 1
0.357143 19 1
0.5 20 1
0.857143 21 1
0.428571 22 1
0.5 23 1
0.285714 24 1
0.428571 25 1
0.5 26 2
0.357143 27 2
0.5 28 2
0.428571 29 2
0.428571 30 2
0.357143 31 2
0.285714 32 2
0.642857 33 2
0.428571 34 2
0.571429 35 2
0.285714 36 2
0.642857 37 2
0.5 38 2
0.428571 39 2
0.5 40 2
0.428571 41 2
0.214286 42 2
0.428571 43 2
0.285714 44 2
0.5 45 2
0.428571 46 2
0.571429 47 2
0.571429 48 2
0.428571 49 2
0.5 50 2
0.5 51 3
0.357143 52 3
0.571429 53 3
0.5 54 3
0.5 55 3
0.571429 56 3
0.285714 57 3
0.714286 58 3
0.428571 59 3
0.357143 60 3
0.5 61 3
0.285714 62 3
0.357143 63 3
0.642857 64 3
0.642857 65 3
0.642857 66 3
0.642857 67 3
0.428571 68 3
0.571429 69 3
0.642857 70 3
0.714286 71 3
0.5 72 3
0.785714 73 3
0.571429 74 3
0.357143 75 3
0.571429 76 4
0.642857 77 4
0.785714 78 4
0.785714 79 4
0.5 80 4
0.785714 81 4
0.357143 82 4
0.714286 83 4
0.714286 84 4
0.642857 85 4
0.714286 86 4
0.357143 87 4
0.428571 88 4
0.714286 89 4
0.571429 90 4
0.571429 91 4
0.428571 92 4
0.357143 93 4
0.642857 94 4
0.5 95 4
0.571429 96 4
0.571429 97 4
0.642857 98 4
0.571429 99 4
0.5 100 4
0.428571 101 5
0.571429 102 5
0.5 103 5
0.428571 104 5
0.642857 105 5
0.5 106 5
0.428571 107 5
0.5 108 5
0.571429 109 5
0.571429 110 5
0.642857 111 5
0.571429 112 5
0.571429 113 5
0.357143 114 5
0.428571 115 5
0.571429 116 5
0.714286 117 5
0.714286 118 5
0.785714 119 5
0.5 120 5
0.571429 121 5
0.357143 122 5
0.357143 123 5
0.642857 124 5
0.642857 125 5
0.571429 126 6
0.571429 127 6
0.642857 128 6
0.642857 129 6
0.428571 130 6
0.428571 131 6
0.571429 132 6
0.428571 133 6
0.785714 134 6
0.5 135 6
0.5 136 6
0.5 137 6
0.571429 138 6
0.571429 139 6
0.714286 140 6
0.571429 141 6
0.357143 142 6
0.642857 143 6
0.428571 144 6
0.571429 145 6
0.571429 146 6
0.428571 147 6
0.714286 148 6
0.571429 149 6
0.571429 150 6
0.5 151 7
0.428571 152 7
0.571429 153 7
0.714286 154 7
0.571429 155 7
0.571429 156 7
0.785714 157 7
0.714286 158 7
0.357143 159 7
0.5 160 7
0.642857 161 7
0.5 162 7
0.642857 163 7
0.642857 164 7
0.571429 165 7
0.785714 166 7
0.785714 167 7
0.642857 168 7
0.571429 169 7
0.857143 170 7
0.5 171 7
0.642857 172 7
0.714286 173 7
0.642857 174 7
0.428571 175 7
0.714286 176 8
0.857143 177 8
0.857143 178 8
0.571429 179 8
0.642857 180 8
0.642857 181 8
0.714286 182 8
0.714286 183 8
0.642857 184 8
0.642857 185 8
0.428571 186 8
0.5 187 8
