"acc" "trial" "block"
0.117647 1 1
0.352941 2 1
0.470588 3 1
0.411765 4 1
0.176471 5 1
0.470588 6 1
0.235294 7 1
0.235294 8 1
0.294118 9 1
0.235294 10 1
0.235294 11 1
0.470588 12 1
0.470588 13 1
0.470588 14 1
0.470588 15 1
0.294118 16 1
0.470588 17 1
0.588235 18 1
0.411765 19 1
0.411765 20 1
0.352941 21 1
0.294118 22 1
0.352941 23 1
0.294118 24 1
0.529412 25 1
0.529412 26 2
0.470588 27 2
0.470588 28 2
0.588235 29 2
0.588235 30 2
0.529412 31 2
0.294118 32 2
0.411765 33 2
0.352941 34 2
0.294118 35 2
0.705882 36 2
0.176471 37 2
0.529412 38 2
0.588235 39 2
0.529412 40 2
0.529412 41 2
0.294118 42 2
0.411765 43 2
0.470588 44 2
0.411765 45 2
0.411765 46 2
0.588235 47 2
0.411765 48 2
0.411765 49 2
0.352941 50 2
0.588235 51 3
0.529412 52 3
0.470588 53 3
0.117647 54 3
0.588235 55 3
0.411765 56 3
0.588235 57 3
0.529412 58 3
0.588235 59 3
0.294118 60 3
0.470588 61 3
0.411765 62 3
0.470588 63 3
0.588235 64 3
0.588235 65 3
0.470588 66 3
0.294118 67 3
0.588235 68 3
0.588235 69 3
0.470588 70 3
0.411765 71 3
0.470588 72 3
0.705882 73 3
0.529412 74 3
0.647059 75 3
0.529412 76 4
0.529412 77 4
0.588235 78 4
0.588235 79 4
0.764706 80 4
0.470588 81 4
0.470588 82 4
0.647059 83 4
0.529412 84 4
0.647059 85 4
0.705882 86 4
0.529412 87 4
0.411765 88 4
0.470588 89 4
0.470588 90 4
0.588235 91 4
0.705882 92 4
0.529412 93 4
0.529412 94 4
0.529412 95 4
0.470588 96 4
0.588235 97 4
0.470588 98 4
0.411765 99 4
0.529412 100 4
0.529412 101 5
0.470588 102 5
0.764706 103 5
0.529412 104 5
0.588235 105 5
0.647059 106 5
0.411765 107 5
0.529412 108 5
0.411765 109 5
0.529412 110 5
0.705882 111 5
0.588235 112 5
0.411765 113 5
0.470588 114 5
0.647059 115 5
0.470588 116 5
0.588235 117 5
0.705882 118 5
0.529412 119 5
0.647059 120 5
0.764706 121 5
0.529412 122 5
0.529412 123 5
0.529412 124 5
0.764706 125 5
0.588235 126 6
0.705882 127 6
0.705882 128 6
0.764706 129 6
0.352941 130 6
0.647059 131 6
0.411765 132 6
0.647059 133 6
0.529412 134 6
0.705882 135 6
0.647059 136 6
0.470588 137 6
0.823529 138 6
0.529412 139 6
0.529412 140 6
0.705882 141 6
0.470588 142 6
0.470588 143 6
0.823529 144 6
0.588235 145 6
0.470588 146 6
0.647059 147 6
0.235294 148 6
0.411765 149 6
0.588235 150 6
0.764706 151 7
0.705882 152 7
0.588235 153 7
0.588235 154 7
0.823529 155 7
0.647059 156 7
0.705882 157 7
