"condition" "subject" "filename" "savings"
4 23 "~txtData/un4b4414.txt" -0.113333333333333
4 24 "~txtData/un4b4419.txt" -0.0266666666666667
4 25 "~txtData/un4b4424.txt" 0.00666666666666667
4 30 "~txtData/un4b4450.txt" -0.273333333333333
5 2 "~txtData/un4bc114.txt" 0.133333333333333
5 3 "~txtData/un4bc116.txt" 0.08
5 4 "~txtData/un4bc203.txt" 0.0866666666666667
5 5 "~txtData/un4bc305.txt" -0.113333333333333
5 6 "~txtData/un4bc310.txt" 0.126666666666667
5 7 "~txtData/un4bc315.txt" 0.16
5 8 "~txtData/un4bc320.txt" -0.146666666666667
5 9 "~txtData/un4bc325.txt" 0.186666666666667
5 10 "~txtData/un4bc330.txt" -0.106666666666667
5 11 "~txtData/un4bc336.txt" -0.02
5 13 "~txtData/un4bc350.txt" 0.0533333333333333
5 15 "~txtData/un4bc360.txt" 0.12
5 16 "~txtData/un4bc365.txt" -0.18
5 17 "~txtData/un4bc370.txt" 0.113333333333333
5 18 "~txtData/un4bc375.txt" 0.0933333333333333
5 19 "~txtData/un4bc380.txt" -0.226666666666667
5 20 "~txtData/un4bc390.txt" -0.0333333333333333
5 21 "~txtData/un4bc395.txt" -0.04
5 22 "~txtData/un4bc400.txt" 0.0933333333333333
5 23 "~txtData/un4bc405.txt" 0.0466666666666667
5 24 "~txtData/un4bc410.txt" -0.233333333333333
5 25 "~txtData/un4bc415.txt" 0.2
5 27 "~txtData/un4bc431.txt" -0.146666666666667
5 28 "~txtData/un4bc436.txt" -0.1
5 29 "~txtData/un4bc441.txt" -0.00666666666666667
5 31 "~txtData/un4bc451.txt" 0.186666666666667
5 32 "~txtData/un4bc456.txt" 0
5 33 "~txtData/un4bc461.txt" 0
