"condition" "subject" "block" "acc_mean" "rt_mean"
1 7 10 0.48 1.210632
1 9 10 0.32 1.02974
1 10 10 0.4 1.240696
1 11 10 0.36 1.441912
1 12 10 0.64 2.149452
1 13 10 0.6 1.521932
1 15 10 0.6 0.988212
1 16 10 0.76 1.300428
1 18 10 0.76 0.989264
1 19 10 0.52 1.486628
1 20 10 0.6 0.885888
1 21 10 0.76 1.0437
1 23 10 0.64 1.04446
1 24 10 0.6 1.378612
1 26 10 0.68 0.992728
1 27 10 0.76 1.746848
1 28 10 0.4 0.785208
1 29 10 0.8 4.110692
1 30 10 0.56 1.15776
1 2 11 0.56 2.80266
1 3 11 0.4 1.791356
1 5 11 0.72 3.834216
1 6 11 0.8 3.084108
1 7 11 0.44 2.640564
1 9 11 0.6 2.135744
1 10 11 0.64 2.904504
1 11 11 0.48 2.887664
1 12 11 0.56 3.382252
1 13 11 0.56 3.4925
1 15 11 0.56 3.393888
1 16 11 0.52 2.50754
1 18 11 0.8 3.967732
1 19 11 0.68 3.13598
1 20 11 0.52 2.21848
1 21 11 0.84 1.967464
1 23 11 0.76 2.108428
1 24 11 0.76 4.050768
1 26 11 0.48 3.313208
1 27 11 0.76 3.163004
1 28 11 0.84 3.031268
1 29 11 0.84 5.00814
1 30 11 0.64 2.84054
1 2 12 0.64 2.476512
1 3 12 0.56 1.660808
1 5 12 0.92 2.039696
1 6 12 0.44 2.323
1 7 12 0.4 2.25172
1 9 12 0.56 1.594192
1 10 12 0.36 2.783932
1 11 12 0.44 2.210144
1 12 12 0.6 1.781856
1 13 12 0.6 2.25066
1 15 12 0.84 2.216156
1 16 12 0.56 1.849432
1 18 12 0.76 2.492064
1 19 12 0.64 2.645336
1 20 12 0.6 1.403332
1 21 12 0.72 1.447568
1 23 12 0.68 2.360124
1 24 12 0.72 2.53992
1 26 12 0.48 3.365044
1 27 12 0.92 2.019584
1 28 12 0.56 2.579044
1 29 12 0.8 4.820944
1 30 12 0.84 1.642188
1 2 13 0.68 2.125232
1 3 13 0.4 1.434512
1 5 13 0.84 2.230188
1 6 13 0.68 2.3252
1 7 13 0.4 2.376812
1 9 13 0.64 1.06304
1 10 13 0.44 2.680128
1 11 13 0.6 2.31642
1 12 13 0.48 2.89708
1 13 13 0.68 2.32392
1 15 13 0.6 2.325192
1 16 13 0.76 1.481484
1 18 13 0.76 2.396824
1 19 13 0.6 2.158464
1 20 13 0.76 1.398692
1 21 13 0.36 1.628556
1 23 13 0.72 2.418604
1 24 13 0.52 2.573156
1 26 13 0.68 3.655596
1 27 13 0.88 2.659584
1 28 13 0.48 1.557152
1 29 13 0.76 8.1751
1 30 13 0.72 2.241188
1 2 14 0.64 1.788052
1 3 14 0.44 1.792028
1 5 14 0.84 1.895004
1 6 14 0.6 2.46886
1 7 14 0.44 1.835744
1 9 14 0.32 1.234908
1 10 14 0.6 2.723924
1 11 14 0.64 2.000568
1 12 14 0.28 2.003624
1 13 14 0.52 1.7857
1 15 14 0.28 0.965636
1 16 14 0.28 2.2078
1 18 14 0.56 2.107192
1 19 14 0.4 1.599504
1 20 14 0.64 0.796792
1 21 14 0.44 0.953432
1 23 14 0.6 1.76278
1 24 14 0.52 2.332508
1 26 14 0.64 3.085868
1 27 14 0.16 2.157644
1 28 14 0.52 1.895452
1 29 14 0.72 7.771296
1 30 14 0.52 2.494892
1 2 15 0.56 0.865112
1 3 15 0.4 1.035684
1 5 15 0.72 1.556984
1 6 15 0.36 1.814956
1 7 15 0.32 1.12832
1 9 15 0.64 1.124388
1 10 15 0.64 2.54988
1 11 15 0.48 1.366032
1 12 15 0.48 8.58612
